label,latitude,longitude
name count,latitude,longitude
Aquila 4,42.35,13.40
Ascoli Piceno 2,42.86,13.57
Barco 1,45.379560,9.899240
Bologna 54,44.49,11.35
Brescia 19,45.54,10.22
Cagli 1,43.55,12.65
Cagliari 2,39.22,9.11
Capua 1,41.10,14.22
Casale Monferrato 2,45.1333333333333,8.4525
Castano Primo 1,45.55,8.77
Cesena 1,44.14,12.24
Chivasso 1,45.19,7.88
Cividale 1,46.09,13.44
Colle di Valdelsa 2,43.42,11.12
Como 2,45.81,9.09
Cortemaggiore 1,44.9916666666667,9.92833333333333
Cosenza 1,39.30,16.25
Cremona 7,45.13,10.03
Faenza 1,44.29,11.88
Fano 1,43.84,13.02
Ferrara 9,44.838123,11.619787
Fivizzano 2,44.2377777777778,10.1263888888889
Florence: 36,43.7791666666667,11.2461111111111
Foligno 2,42.95,12.70
Forlì 3,44.2202777777778,12.0522222222222
Gaeta 2,41.21,13.57
Genoa 4,44.41,8.93
Iesi 1,43.52,13.24
Lucca 6,43.84,10.51
Mantua 13,45.16,10.80
Matelica 1,43.26,13.01
Messina 7,38.19,15.56
Milan 66,45.46,9.19
Modena 13,44.65,10.93
Mondovì 2,44.3958333333333,7.8175
Naples 40,40.84,14.25
Nonantola 1,44.68,11.04
Novi 1,44.7644444444444,8.78972222222222
Nozzano 1,43.84,10.42
Padua 25,45.35,11.8166666666667
Palermo 1,38.12,13.36
Parma 11,44.81,10.33
Pavia 35,45.19,9.16
Perugia 12,43.11,12.39
Pesaro 1,43.91,12.92
Pescia 7,43.90,10.69
Piacenza 2,45.05,9.70
Pinerolo 1,44.88,7.33
Pisa 5,43.72,10.40
Portese 1,45.60,10.55
Reggio di Calabria 1,38.11,15.65
Reggio Emilia 12,44.696239,10.627900
Rome 70,41.89,12.49
Sabbioneta 1,44.9977777777778,10.4883333333333
Saluzzo 2,44.565650,7.486570
San Cesario 1,44.56,11.03
San Germano 1,41.50,13.82
Savigliano 2,44.65,7.66
Savona 1,44.31,8.48
Scandiano 2,44.60,10.69
Siena 7,43.32,11.33
Soncino 5,45.40,9.87
Subiaco 1,41.93,13.10
Torrebelvicino 1,45.72,11.32
Toscolano 3,45.635480,10.609560
Trent 2,46.07,11.12
Trevi 1,42.88,12.75
Treviso 15,45.67,12.24
Trino 1,45.19,8.30
Turin 7,45.07,7.69
Udine 1,46.06,13.23
Urbino 1,43.72,12.64
Venice: 254,45.4369444444444,12.3325
Vercelli 1,45.32,8.43
Verona 12,45.44,10.99
Vicenza 17,45.55,11.54
Viterbo 1,42.42,12.10
Voghera 1,44.99,9.01
Piove di Sacco 1,45.296169,12.034830
Pojano 1,45.46,10.83
SantOrso 2,45.6083333333333,7.35444444444444
